DATE,GEO,CATEGORY,VALUE
2020-06-01,"Charlottetown, Prince Edward Island",house,102.6
2020-06-01,"Edmonton, Alberta",house,97.4
2020-06-01,"Greater Sudbury, Ontario",house,102.8
2020-06-01,"Guelph, Ontario",house,109.3
2020-06-01,"Halifax, Nova Scotia",house,104.9
2020-06-01,"Hamilton, Ontario",house,105.1
2020-06-01,"Kelowna, British Columbia",house,104.2
2020-06-01,"Kitchener-Cambridge-Waterloo, Ontario",house,110.8
2020-06-01,"London, Ontario",house,116.3
2020-06-01,Manitoba,house,105.8
2020-06-01,"Montréal, Quebec",house,114.2
2020-06-01,New Brunswick,house,103.2
2020-06-01,Newfoundland and Labrador,house,97.2
2020-06-01,Nova Scotia,house,104.9
2020-06-01,Ontario,house,106.7
2020-06-01,"Oshawa, Ontario",house,103.5
2020-06-01,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",house,124.2
2020-06-01,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",house,107.9
2020-06-01,Prairie Region,house,97.8
2020-06-01,Prince Edward Island,house,102.6
2020-06-01,Quebec,house,110.7
2020-06-01,"Québec, Quebec",house,100.9
2020-06-01,"Regina, Saskatchewan",house,92.4
2020-06-01,"Saint John, Fredericton, and Moncton, New Brunswick",house,103.2
2020-06-01,Saskatchewan,house,95
2020-06-01,"Saskatoon, Saskatchewan",house,96.6
2020-06-01,"Sherbrooke, Quebec",house,103.9
2020-06-01,"St. Catharines-Niagara, Ontario",house,110.1
2020-06-01,"St. John's, Newfoundland and Labrador",house,97.2
2020-06-01,"Toronto, Ontario",house,102.8
2020-06-01,"Trois-Rivières, Quebec",house,103.1
2020-06-01,"Vancouver, British Columbia",house,107
2020-06-01,"Victoria, British Columbia",house,102.6
2020-06-01,"Windsor, Ontario",house,108.6
2020-06-01,"Winnipeg, Manitoba",house,105.8
2020-07-01,Alberta,house,96.7
2020-07-01,Atlantic Region,house,102.1
2020-07-01,British Columbia,house,107.2
2020-07-01,"Calgary, Alberta",house,96.3
2020-07-01,Canada,house,104.7
2020-07-01,"Charlottetown, Prince Edward Island",house,102.6
2020-07-01,"Edmonton, Alberta",house,97.2
2020-07-01,"Greater Sudbury, Ontario",house,102.8
2020-07-01,"Guelph, Ontario",house,110
2020-07-01,"Halifax, Nova Scotia",house,105.4
2020-07-01,"Hamilton, Ontario",house,106.7
2020-07-01,"Kelowna, British Columbia",house,104.3
2020-07-01,"Kitchener-Cambridge-Waterloo, Ontario",house,111.6
2020-07-01,"London, Ontario",house,116.7
2020-07-01,Manitoba,house,106
2020-07-01,"Montréal, Quebec",house,114.8
2020-07-01,New Brunswick,house,103.2
2020-07-01,Newfoundland and Labrador,house,96.9
2020-07-01,Nova Scotia,house,105.4
2020-07-01,Ontario,house,107.2
2020-07-01,"Oshawa, Ontario",house,103.8
2020-07-01,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",house,125.9
2020-07-01,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",house,107.9
2020-07-01,Prairie Region,house,97.5
2020-07-01,Prince Edward Island,house,102.6
2020-07-01,Quebec,house,111.1
2020-07-01,"Québec, Quebec",house,101
2020-07-01,"Regina, Saskatchewan",house,91.9
2020-07-01,"Saint John, Fredericton, and Moncton, New Brunswick",house,103.2
2020-07-01,Saskatchewan,house,94.8
2020-07-01,"Saskatoon, Saskatchewan",house,96.6
